variable_name,data_group,variable1,variable1_definition,variable2,variable2_definition,code1,code1_definition,code2,code2_definition
APPSEX_1_LOANTYPE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",1,Male,1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)"
APPSEX_1_LOANTYPE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",1,Male,2,FHA-insured (Federal Housing Administration)
APPSEX_1_LOANTYPE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",1,Male,3,VA- guaranteed (Veterans Administration
APPSEX_1_LOANTYPE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",1,Male,4,FSA/RHS (Farm Service Agency or Rural Housing Service)
APPSEX_1_OCCUPANC_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,Male,1,Owner-occupied as a principal dwelling
APPSEX_1_OCCUPANC_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,Male,2,Not owner-occupied
APPSEX_1_OCCUPANC_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,Male,3,Not applicable
APPSEX_1_OCCUPANC_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,Male,4,Not available
APPSEX_1_PRCH_TYP1_FHLMC,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,Male,FHLMC,Freddie Mac
APPSEX_1_PRCH_TYP1_FNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,Male,FNMA,Fannie Mae
APPSEX_1_PRCH_TYP1_GNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,Male,GNMA,Ginnie Mae
APPSEX_1_PRCH_TYP1_OTHER,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,Male,OTHER,"Farmer Mac, private securitization, commercial or savings bank, savings assoc., life insur. company, credit union, mortgage bank, or finance company"
